month,department,category,budget,actual,variance,variance_pct,approved_by
2024-11,HR,Travel,480115.28,513304.31,33189.03,6.91,CFO
2024-11,HR,Software,201863.61,193756.81,-8106.8,-4.02,CFO
2024-11,HR,Equipment,469502.46,422270.62,-47231.84,-10.06,VP Finance
2024-11,HR,Misc,127235.76,110259.65,-16976.11,-13.34,Controller
2024-11,IT,Personnel,447786.11,471715.85,23929.74,5.34,VP Finance
2024-11,IT,Travel,181243.93,214836.21,33592.28,18.53,CFO
2024-11,IT,Software,363141.36,389473.18,26331.82,7.25,CFO
2024-11,IT,Equipment,411667.44,530465.69,118798.25,28.86,Controller
2024-11,IT,Misc,66098.61,50202.67,-15895.94,-24.05,VP Finance
2024-11,Finance,Personnel,138102.71,165333.55,27230.84,19.72,CFO
2024-11,Finance,Travel,456549.66,366839.82,-89709.84,-19.65,CFO
2024-11,Finance,Software,458772.15,470909.95,12137.8,2.65,VP Finance
2024-11,Finance,Equipment,190996.05,216940.17,25944.12,13.58,CFO
2024-11,Finance,Misc,223634.92,209506.37,-14128.55,-6.32,CFO
2024-11,Supply Chain,Personnel,315977.94,287995.05,-27982.89,-8.86,Controller
2024-11,Supply Chain,Travel,215859.51,211188.03,-4671.48,-2.16,Controller
2024-11,Supply Chain,Software,437650.22,531873.64,94223.42,21.53,Controller
2024-11,Supply Chain,Equipment,159647.46,136745.04,-22902.42,-14.35,CFO
2024-11,Supply Chain,Misc,194892.39,150574.76,-44317.63,-22.74,CFO
2024-12,Sales,Personnel,159087.16,171332.75,12245.59,7.7,VP Finance
2024-12,Sales,Travel,459804.98,587323.4,127518.42,27.73,CFO
2024-12,Sales,Software,492277.35,470347.23,-21930.12,-4.45,VP Finance
2024-12,Sales,Equipment,138911.42,104679.26,-34232.16,-24.64,VP Finance
2024-12,Sales,Misc,366689.08,279637.29,-87051.79,-23.74,Controller
2024-12,Marketing,Personnel,336624.61,390670.66,54046.05,16.06,CFO
2024-12,Marketing,Travel,341087.1,437840.4,96753.3,28.37,VP Finance
2024-12,Marketing,Software,207467.84,217562.58,10094.74,4.87,VP Finance
2024-12,Marketing,Equipment,55174.09,60229.36,5055.27,9.16,Controller
2024-12,Marketing,Misc,205259.3,212907.1,7647.8,3.73,VP Finance
2024-12,Operations,Personnel,387427.68,328374.72,-59052.96,-15.24,VP Finance
2024-12,Operations,Travel,105692.3,83922.09,-21770.21,-20.6,VP Finance
2024-12,Operations,Software,277969.41,344614.37,66644.96,23.98,VP Finance
2024-12,Operations,Equipment,492357.39,384973.59,-107383.8,-21.81,Controller
2024-12,Operations,Misc,171341.54,137709.52,-33632.02,-19.63,VP Finance
2024-12,HR,Personnel,212550.23,189864.35,-22685.88,-10.67,CFO
2024-12,HR,Travel,218593.89,165969.23,-52624.66,-24.07,VP Finance
2024-12,HR,Software,220018.23,270540.88,50522.65,22.96,VP Finance
2024-12,HR,Equipment,130772.58,98327.3,-32445.28,-24.81,Controller
2024-12,HR,Misc,235990.65,231537.02,-4453.63,-1.89,VP Finance
2024-12,IT,Personnel,222003.82,169574.24,-52429.58,-23.62,Controller
2024-12,IT,Travel,266759.5,277720.79,10961.29,4.11,CFO
2024-12,IT,Software,243047.8,198609.41,-44438.39,-18.28,VP Finance
2024-12,IT,Equipment,110004.11,114166.85,4162.74,3.78,VP Finance
2024-12,IT,Misc,299004.25,264580.12,-34424.13,-11.51,Controller
2024-12,Finance,Personnel,205320.86,155977.01,-49343.85,-24.03,Controller
2024-12,Finance,Travel,111548.65,135500.62,23951.97,21.47,VP Finance
2024-12,Finance,Software,127663.61,124750.31,-2913.3,-2.28,VP Finance
2024-12,Finance,Equipment,484498.3,438395.53,-46102.77,-9.52,Controller
2024-12,Finance,Misc,477935.68,511422.47,33486.79,7.01,VP Finance
2024-12,Supply Chain,Personnel,243676.68,243581.85,-94.83,-0.04,Controller
2024-12,Supply Chain,Travel,440644.14,458718.46,18074.32,4.1,CFO
2024-12,Supply Chain,Software,139658.85,142861.14,3202.29,2.29,VP Finance
2024-12,Supply Chain,Equipment,118252.91,104702.62,-13550.29,-11.46,VP Finance
2024-12,Supply Chain,Misc,368668.26,434391.14,65722.88,17.83,CFO
